name:,photo:,price:,frequency:,resolution:,link:
"Монитор 21,5"" HP V22e 28N41AA 1920x1080 16:9 TN 60ГЦ (HDMI+VGA) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_215_hp_v22e_28n41aa_268562_1.jpg&w=640&q=85 ,56 990 ₸,60,1920x1080 (FHD),https://www.technodom.kz/p/monitor-215-hp-v22e-28n41aa-268562
"Монитор 23.8"" Xiaomi BHR4510GL 1920х1080 16:9 IPS 60ГЦ (HDMI+VGA) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F263236_1.jpg&w=640&q=85 ,81 990 ₸,60,1920x1080 (FHD),https://www.technodom.kz/p/monitor-238-xiaomi-bhr4510gl-1920kh1080-169-ips-60gcz-hdmivga-black-263236
"Монитор 23,8"" LG 24MP500-B 1920x1080 16:9 IPS 75ГЦ (2HDMI) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F257251_1.jpg&w=640&q=85 ,69 990 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-23-8-lg-24mp500-b-2hdmi-black-257251
"Монитор 32"" Samsung Smart LS32BM801UIXCI 3840x2160 16:9 VA 60ГЦ (HDMI+Type-C) White",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F260877_1.jpg&w=640&q=85 ,364 990 ₸,60,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-32-samsung-smart-ls32bm801uixci-white-260877
"Монитор 27"" LG 27UP850N-W 3840×2160 16:9 IPS 60ГЦ (2HDMI+DP+Type-C) White",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_27_lg_27up850n_w_38402160_169_ips_60gc_2hdmidptype_c_white_267254_1.jpg&w=640&q=85 ,259 990 ₸,60,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-27-lg-27up850n-w-38402160-169-ips-60gc-2hdmidptype-c-white-267254
"Монитор 21.5"" Samsung LS22F350FHIX 1920х1080 16:9 TN 60ГЦ (HDMI+VGA) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F37830_1.jpg&w=640&q=85 ,54 990 ₸,60,1920x1080 (FHD),https://www.technodom.kz/p/monitor-zk-samsung-lsffhix-black-37830
"Монитор Игровой 27"" Dell G2722HS 1920x1080 16:9 IPS 165ГЦ (2HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F262566_1.jpg&w=640&q=85 ,269 990 ₸,165,1920x1080 (FHD),https://www.technodom.kz/p/monitor-igrovoj-27-dell-g2722hs-black-262566
"Монитор игровой 34"" HP X34 Gaming 2V7W6AA 3440x1440 21:9 IPS 165ГЦ (HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F263602_1.jpg&w=640&q=85 ,239 990 ₸,165,3440x1440,https://www.technodom.kz/p/monitor-igrovoj-34-hp-x34-gaming-2v7w6aa-black-263602
"Монитор Игровой 31,5"" Samsung G7 LS32BG752NIXCI 3840x2160 16:9 VA 165ГЦ (HDMI+DP) Curved Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F266410_1v.jpg&w=640&q=85 ,594 990 ₸,160,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-igrovoj-315-samsung-g7-ls32bg752nixci-2560h1440-169-266410
"Монитор Игровой 27"" LG 27GN95R-B 3840x2160 16:9 IPS 144 ГЦ (2HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_igrovoj_27_lg_27gn95r_b_3840x2160_169_ips_144_gc_2hdmidp_black_267763_1.jpg&w=640&q=85 ,472 990 ₸,144,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-igrovoj-27-lg-27gn95r-b-3840x2160-169-ips-144-gc-2hdmidp-black-267763
"Монитор Игровой 23.8"" Samsung LS24R356FHIXCI 1920x1080 16:9 IPS 75ГЦ (HDMI) Dark Blue",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F217148_1.jpg&w=640&q=85 ,79 990 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-23-8-samsung-ls24r356fhixci-black-217148
"Монитор 27"" Dell UltraSharp U2723QE 3840x2160 16:9 IPS 60ГЦ (HDMI+DP+Type-C) White",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F262574_1.jpg&w=640&q=85 ,434 490 ₸,60,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-27-dell-ultrasharp-u2723qe-white-262574
"Монитор 27"" HP U27 4K Wireless 9TQ13AA 3840x2160 16:9 IPS 60ГЦ (HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F232925_1.jpg&w=640&q=85 ,221 990 ₸,60,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-27-hp-u27-9tq13aa-3840h2160-169-ips-60gc-hdmidp-232925
"Монитор 31.5"" HP U32 368Y5AA 3840x2160 16:9 60ГЦ IPS (HDMI+DP+Type-C) Silver",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F262230_1.jpg&w=640&q=85 ,305 990 ₸,60,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-315-hp-u32-368y5aa-silver-262230
"Монитор 23,8"" HP M24fwa 1920x1080 16:9 IPS 75ГЦ (HDMI+VGA) White",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_238_hp_m24fwa_1920x1080_169_ips_75gc_hdmivga_white_265647_1.jpg&w=640&q=85 ,99 500 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-238-hp-m24fwa-1920x1080-169-ips-75gc-hdmivga-white-265647
"Монитор Игровой 27"" HP Omen 3G6W0E9 3840x2160 16:9 IPS 144ГЦ (HDMI+DP+Type-C) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F266569_1.jpg&w=640&q=85 ,425 990 ₸,144,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-igrovoj-27-hp-omen-3g6w0e9-3840x2160-169-ips-144gcz-hdmidptype-c-black-266569
"Монитор 34"" HP X34 3B1W4AA 3440x1440 21:9 VA 100ГЦ (HDMI+DP+Type-C) Curved Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_34_hp_x34_3b1w4aa_3440x1440_219_va_100gc_266987_1v.jpg&w=640&q=85 ,239 990 ₸,100,3440x1440,https://www.technodom.kz/p/monitor-34-hp-x34-3b1w4aa-3440x1440-219-va-100gc-266987
"Монитор 27"" LG 27QN880-B 2560x1440 16:9 IPS 75ГЦ (2HDMI+DP+Type-C) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F258914_1.jpg&w=640&q=85 ,274 990 ₸,75,2560x1440 (2K),https://www.technodom.kz/p/monitor-27-lg-27qn880-b-2560x1440-169-ips-75gcz-2hdmidptype-258914
"Монитор Игровой 27"" Samsung LS27AG500NIXCI 2560x1440 16:9 IPS 165ГЦ (HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F260879_1.jpg&w=640&q=85 ,254 990 ₸,165,2560x1440 (2K),https://www.technodom.kz/p/monitor-igrovoj-27-samsung-ls27ag500nixci-black-260879
"Монитор 31,5"" Dell P3223QE 3840x2160 16:9 IPS 60ГЦ (HDMI+DP+Type-C) Silver",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F262573_1.jpg&w=640&q=85 ,373 790 ₸,60,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-315-dell-p3223qe-silver-262573
"Монитор 27"" Dell S2721QS 3840x2160 16:9 IPS 60ГЦ (2HDMI+DP) Silver",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F262568_1.jpg&w=640&q=85 ,199 990 ₸,60,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-27-dell-s2721qs-silver-262568
"Монитор Игровой 34"" Dell S3422DWG 3440x1440 21:9 VA 144ГЦ (2HDMI+DP) Curved Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F262572_1.jpg&w=640&q=85 ,289 990 ₸,144,3440x1440,https://www.technodom.kz/p/monitor-igrovoj-34-dell-s3422dwg-curved-black-262572
"Монитор игровой 27"" HP OMEN 27u 4K 3G6W0AA 3840x2160 16:9 IPS 144ГЦ (2HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F263601_1.jpg&w=640&q=85 ,411 990 ₸,144,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-igrovoj-27-hp-omen-27u-4k-3g6w0aa-black-263601
"Монитор Игровой 27"" HUAWEI MateView GT XWU-CBA 2560x1440 16:9 VA 165ГЦ (HDMI+DP) Curved Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F265618_1w.jpg&w=640&q=85 ,199 990 ₸,165,2560x1440 (2K),https://www.technodom.kz/p/monitor-igrovoj-27-huawei-mateview-gt-xwu-cba-2560x1440-169-va-165gc-hdmidp-curved-black-265618
"Монитор 28"" HP 1Z980AA 3840x2160 16:9 IPS 60ГЦ (HDMI+DP+Type-C) Silver",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F266568_1.jpg&w=640&q=85 ,255 990 ₸,60,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-28-hp-1z980aa-3840x2160-169-ips-60gcz-hdmidptype-c-silver-266568
"Монитор 24,5"" Dell Alienware AW2521H 1920x1080 16:9 IPS 360ГЦ (2HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F258191_1.jpg&w=640&q=85 ,364 490 ₸,360,1920x1080 (FHD),https://www.technodom.kz/p/monitor-24-5-dell-alienware-aw2521h-black-258191
"Игровой монитор 31,5"" Gigabyte Aorus FI32Q-EK 2560x1440 16:9 IPS 170ГЦ (2HDMI+PD+Type-C) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F259967_1vv.jpg&w=640&q=85 ,369 990 ₸,170,2560x1440 (2K),https://www.technodom.kz/p/igrovoj-monitor-315-gigabyte-aorus-fi32q-2hdmipdtype-c-black-259967
"Игровой монитор 27"" Gigabyte G27FC A-EK 1920x1080 16:9 VA 165ГЦ (2HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F259970_1.jpg&w=640&q=85 ,149 990 ₸,165,1920x1080 (FHD),https://www.technodom.kz/p/igrovoj-monitor-27-gigabyte-g27fc-ek-1920x1080-169-va-259970
"Монитор 23,8"" Dell P2422 1920x1080 IPS 16:9 60ГЦ (HDMI+DP+USB-C) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F262280_1.jpg&w=640&q=85 ,173 990 ₸,60,1920x1080 (FHD),https://www.technodom.kz/p/monitor-238-dell-p2422-1920x1080-ips-169-60gcz-hdmidpusb-c-black-262280
"Монитор 31,5"" LG 32GQ850-B 2560x1440 16:9 IPS 240ГЦ (2HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_315_lg_32gq850_b_2560x1440_169_ips_240gc_2hdmidp_black_267253_1.jpg&w=640&q=85 ,415 990 ₸,240,2560x1440 (2K),https://www.technodom.kz/p/monitor-315-lg-32gq850-b-2560x1440-169-ips-240gc-2hdmidp-black-267253
"Монитор Игровой 49"" Samsung LC49G95TSSIXCI 5120x1440 32:9 VA 240ГЦ (HDMI+2DP) Curved White",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F227184_1qw.jpg&w=640&q=85 ,789 990 ₸,240,5120х1440,https://www.technodom.kz/p/monitor-igrovoj-49-samsung-lc49g95tssixci-227184
"Монитор 27"" Samsung S7 LS27A700NWIXCI 3840x2160 16:9 IPS 60ГЦ (HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F260095_1.jpg&w=640&q=85 ,195 990 ₸,60,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-27-samsung-s7-ls27a700nwixci-3440x2160-169-ips-260095
"Игровой монитор 23.8"" 2E H2420B 2560x1440 16:9 IPS 75ГЦ (HDMI+DP+DVI+VGA) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Figrovoj_monitor_238_2e_h2420b_2560x1440_169_ips_75gc_260902_1.jpg&w=640&q=85 ,121 990 ₸,75,2560x1440 (2K),https://www.technodom.kz/p/igrovoj-monitor-238-2e-h2420b-2560x1440-169-ips-75gc-260902
"Игровой монитор 24,5"" HyperX Armada 64V61AA#ABB 1920x1080 16:9 IPS 240Гц (2HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Figrovoj_monitor_245_hyperx_armada_64v61aaabb_1920x1080_169_ips_240gc_black_266907_1.jpg&w=640&q=85 ,269 990 ₸,240,1920x1080 (FHD),https://www.technodom.kz/p/igrovoj-monitor-245-hyperx-armada-64v61aaabb-1920x1080-169-ips-240gc-black-266907
"Монитор Игровой 34"" Xiaomi XMMNTWQ34 3440х1440 21:9 VA 144ГЦ (2HDMI+2DP) Curved Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F215906_7z.jpg&w=640&q=85 ,269 990 ₸,144,3440x1440,https://www.technodom.kz/p/monitor-igrovoj-34-xiaomi-31727-215906
